,#_trades,#_wins,#_losses,wins_total_value,wins_avg_value,losses_total_value,losses_avg_value
AAPL,0,0,0,0.0,0.0,0.0,0.0
AMGN,6,0,6,0.0,0.0,-5807.854752399998,-967.9757920666663
AXP,0,0,0,0.0,0.0,0.0,0.0
BA,12,12,0,97102.58362840001,8091.881969033334,0.0,0.0
CAT,0,0,0,0.0,0.0,0.0,0.0
CRM,0,0,0,0.0,0.0,0.0,0.0
CSCO,0,0,0,0.0,0.0,0.0,0.0
CVX,6,6,0,11095.391064000001,1849.2318440000001,0.0,0.0
DIS,6,6,0,42177.00272,7029.500453333333,0.0,0.0
GS,0,0,0,0.0,0.0,0.0,0.0
HD,0,0,0,0.0,0.0,0.0,0.0
HON,6,6,0,50176.278679999996,8362.713113333333,0.0,0.0
IBM,0,0,0,0.0,0.0,0.0,0.0
INTC,9,0,9,0.0,0.0,-1592.1510895500005,-176.9056766166667
JNJ,0,0,0,0.0,0.0,0.0,0.0
JPM,0,0,0,0.0,0.0,0.0,0.0
KO,0,0,0,0.0,0.0,0.0,0.0
MCD,6,4,2,24122.805775000004,6030.701443750001,-249.54147500000363,-124.77073750000181
MMM,6,6,0,23722.37090000001,3953.7284833333347,0.0,0.0
MRK,12,12,0,3097.9850789999973,258.1654232499998,0.0,0.0
MSFT,6,6,0,63041.33759000001,10506.889598333335,0.0,0.0
NKE,0,0,0,0.0,0.0,0.0,0.0
PG,0,0,0,0.0,0.0,0.0,0.0
TRV,6,6,0,36359.341404000006,6059.890234000001,0.0,0.0
UNH,6,6,0,70231.73524000001,11705.289206666668,0.0,0.0
V,0,0,0,0.0,0.0,0.0,0.0
VZ,7,7,0,479.0977176400014,68.44253109142878,0.0,0.0
WBA,0,0,0,0.0,0.0,0.0,0.0
WMT,0,0,0,0.0,0.0,0.0,0.0
